home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link
TSG Hoffenheim II U23,FC Viktoria Köln,1,3,,,https://footystats.org/germany/fc-viktoria-koln-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205966
Erzgebirge Aue,Energie Cottbus,1,2,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-energie-cottbus-h2h-stats#8205785
TSV 1860 München,F.C. Hansa Rostock,1,0,,,https://footystats.org/germany/tsv-1860-munchen-vs-fc-hansa-rostock-h2h-stats#8205976
SSV Ulm 1846,1. FC Saarbrücken,1,1,,,https://footystats.org/germany/1-fc-saarbrucken-vs-ssv-ulm-1846-h2h-stats#8205971
FC Ingolstadt 04,TSV Havelse,3,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-tsv-havelse-h2h-stats#8205957
Alemannia Aachen,SC Verl,3,1,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-sc-verl-1924-h2h-stats#8205963
MSV Duisburg,1. FC Schweinfurt 05,3,1,,,https://footystats.org/germany/msv-duisburg-vs-1-fc-schweinfurt-1905-h2h-stats#8205965
SSV Jahn Regensburg,SV Wehen Wiesbaden,2,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-ssv-jahn-2000-regensburg-h2h-stats#8205970
VfL Osnabrück,Rot-Weiss Essen,3,0,,,https://footystats.org/germany/vfl-osnabruck-vs-rot-weiss-essen-h2h-stats#8205972
VfB Stuttgart II U21,SV Waldhof Mannheim,3,1,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-sv-waldhof-mannheim-07-h2h-stats#8205967
