home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG
Rot-Weiss Essen,Energie Cottbus,2,3,,,https://footystats.org/germany/fc-energie-cottbus-vs-rot-weiss-essen-h2h-stats#8205878,2.53,1.45
Erzgebirge Aue,VfB Stuttgart II U21,0,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-vfb-stuttgart-1893-ii-h2h-stats#8205856,1.14,2.02
TSV 1860 München,1. FC Saarbrücken,2,0,,,https://footystats.org/germany/tsv-1860-munchen-vs-1-fc-saarbrucken-h2h-stats#8206113,1.97,1.14
VfL Osnabrück,FC Ingolstadt 04,1,0,,,https://footystats.org/germany/fc-ingolstadt-04-vs-vfl-osnabruck-h2h-stats#8206114,1.75,1.36
TSV Havelse,SSV Ulm 1846,2,1,,,https://footystats.org/germany/tsv-havelse-vs-ssv-ulm-1846-h2h-stats#8205881,1.43,0.92
Alemannia Aachen,SSV Jahn Regensburg,0,2,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-tsv-alemannia-aachen-h2h-stats#8205891,1.50,1.34
F.C. Hansa Rostock,1. FC Schweinfurt 05,2,0,,,https://footystats.org/germany/fc-hansa-rostock-vs-1-fc-schweinfurt-1905-h2h-stats#8205892,3.18,0.84
SV Waldhof Mannheim,SV Wehen Wiesbaden,1,0,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-sv-waldhof-mannheim-07-h2h-stats#8205894,1.82,1.09
FC Viktoria Köln,SC Verl,1,5,,,https://footystats.org/germany/fc-viktoria-koln-vs-sc-verl-1924-h2h-stats#8206103,1.20,1.42
TSG Hoffenheim II U23,MSV Duisburg,4,1,,,https://footystats.org/germany/msv-duisburg-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205893,2.47,0.89
