home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link
SV Wehen Wiesbaden,FC Viktoria Köln,0,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-fc-viktoria-koln-h2h-stats#8205888
SSV Jahn Regensburg,TSV 1860 München,4,0,,,https://footystats.org/germany/tsv-1860-munchen-vs-ssv-jahn-2000-regensburg-h2h-stats#8205874
VfB Stuttgart II U21,Alemannia Aachen,1,3,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-tsv-alemannia-aachen-h2h-stats#8205872
1. FC Saarbrücken,TSV Havelse,1,1,,,https://footystats.org/germany/1-fc-saarbrucken-vs-tsv-havelse-h2h-stats#8205824
1. FC Schweinfurt 05,TSG Hoffenheim II U23,2,1,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205883
FC Ingolstadt 04,Rot-Weiss Essen,1,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-rot-weiss-essen-h2h-stats#8205887
Energie Cottbus,VfL Osnabrück,0,1,,,https://footystats.org/germany/vfl-osnabruck-vs-fc-energie-cottbus-h2h-stats#8205889
SC Verl,Erzgebirge Aue,1,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-sc-verl-1924-h2h-stats#8205890
SSV Ulm 1846,F.C. Hansa Rostock,0,5,,,https://footystats.org/germany/fc-hansa-rostock-vs-ssv-ulm-1846-h2h-stats#8206093
MSV Duisburg,SV Waldhof Mannheim,2,1,,,https://footystats.org/germany/msv-duisburg-vs-sv-waldhof-mannheim-07-h2h-stats#8205886
