home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG
TSG Hoffenheim II U23,VfB Stuttgart II U21,1,3,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-tsg-1899-hoffenheim-ii-h2h-stats#8206059,2.15,1.68
SV Wehen Wiesbaden,TSV 1860 München,1,0,,,https://footystats.org/germany/tsv-1860-munchen-vs-sv-wehen-wiesbaden-h2h-stats#8206075,2.33,1.34
Erzgebirge Aue,Rot-Weiss Essen,2,2,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-rot-weiss-essen-h2h-stats#8205852,1.31,2.47
Energie Cottbus,Alemannia Aachen,3,2,,,https://footystats.org/germany/fc-energie-cottbus-vs-tsv-alemannia-aachen-h2h-stats#8205837,1.30,1.43
1. FC Schweinfurt 05,SC Verl,1,2,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-sc-verl-1924-h2h-stats#8205834,1.50,2.45
FC Ingolstadt 04,SSV Ulm 1846,4,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-ssv-ulm-1846-h2h-stats#8205835,2.23,1.43
SSV Jahn Regensburg,1. FC Saarbrücken,1,1,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-1-fc-saarbrucken-h2h-stats#8205846,0.93,1.16
FC Viktoria Köln,TSV Havelse,4,1,,,https://footystats.org/germany/fc-viktoria-koln-vs-tsv-havelse-h2h-stats#8205853,3.03,1.60
SV Waldhof Mannheim,VfL Osnabrück,1,4,,,https://footystats.org/germany/vfl-osnabruck-vs-sv-waldhof-mannheim-07-h2h-stats#8206085,1.74,1.78
MSV Duisburg,F.C. Hansa Rostock,2,2,,,https://footystats.org/germany/msv-duisburg-vs-fc-hansa-rostock-h2h-stats#8205848,1.56,1.25
