home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link
1. FC Schweinfurt 05,1. FC Saarbrücken,2,2,,,https://footystats.org/germany/1-fc-saarbrucken-vs-1-fc-schweinfurt-1905-h2h-stats#8205926
MSV Duisburg,TSV Havelse,1,1,,,https://footystats.org/germany/msv-duisburg-vs-tsv-havelse-h2h-stats#8206116
SV Waldhof Mannheim,Alemannia Aachen,2,1,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-sv-waldhof-mannheim-07-h2h-stats#8205981
Energie Cottbus,SC Verl,0,0,,,https://footystats.org/germany/fc-energie-cottbus-vs-sc-verl-1924-h2h-stats#8205973
SSV Jahn Regensburg,SSV Ulm 1846,1,1,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-ssv-ulm-1846-h2h-stats#8205969
Erzgebirge Aue,VfL Osnabrück,1,3,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-vfl-osnabruck-h2h-stats#8205974
FC Viktoria Köln,VfB Stuttgart II U21,2,0,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-fc-viktoria-koln-h2h-stats#8205979
SV Wehen Wiesbaden,FC Ingolstadt 04,2,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-sv-wehen-wiesbaden-h2h-stats#8205982
F.C. Hansa Rostock,Rot-Weiss Essen,3,2,,,https://footystats.org/germany/fc-hansa-rostock-vs-rot-weiss-essen-h2h-stats#8206051
TSG Hoffenheim II U23,TSV 1860 München,1,2,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205980
