home_team,away_team,home_goals,away_goals,match_date,match_time,url
TSV 1860 München,TSV Havelse,3,2,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsv-havelse-h2h-stats#8205802
SV Waldhof Mannheim,Energie Cottbus,0,3,,,https://footystats.org/germany/fc-energie-cottbus-vs-sv-waldhof-mannheim-07-h2h-stats#8206052
VfL Osnabrück,F.C. Hansa Rostock,0,0,,,https://footystats.org/germany/vfl-osnabruck-vs-fc-hansa-rostock-h2h-stats#8205814
Alemannia Aachen,SSV Ulm 1846,1,3,,,https://footystats.org/germany/tsv-alemannia-aachen-vs-ssv-ulm-1846-h2h-stats#8206058
MSV Duisburg,SV Wehen Wiesbaden,3,1,,,https://footystats.org/germany/msv-duisburg-vs-sv-wehen-wiesbaden-h2h-stats#8205779
VfB Stuttgart II U21,1. FC Saarbrücken,1,3,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-1-fc-saarbrucken-h2h-stats#8205806
Erzgebirge Aue,FC Viktoria Köln,0,3,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-fc-viktoria-koln-h2h-stats#8205812
FC Ingolstadt 04,1. FC Schweinfurt 05,2,3,,,https://footystats.org/germany/fc-ingolstadt-04-vs-1-fc-schweinfurt-1905-h2h-stats#8205813
TSG Hoffenheim II U23,SC Verl,2,4,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-sc-verl-1924-h2h-stats#8205817
SSV Jahn Regensburg,Rot-Weiss Essen,1,3,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-rot-weiss-essen-h2h-stats#8205811
