home_team,away_team,home_goals,away_goals,match_date,match_time,url,home_xG,away_xG
VfB Stuttgart II U21,FC Ingolstadt 04,2,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-vfb-stuttgart-1893-ii-h2h-stats#8206073,1.34,2.34
F.C. Hansa Rostock,SV Waldhof Mannheim,1,0,,,https://footystats.org/germany/fc-hansa-rostock-vs-sv-waldhof-mannheim-07-h2h-stats#8206043,1.12,0.66
SSV Jahn Regensburg,MSV Duisburg,0,4,,,https://footystats.org/germany/msv-duisburg-vs-ssv-jahn-2000-regensburg-h2h-stats#8206057,0.23,1.58
SC Verl,SV Wehen Wiesbaden,2,2,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-sc-verl-1924-h2h-stats#8206137,0.98,2.52
Alemannia Aachen,TSG Hoffenheim II U23,2,4,,,https://footystats.org/germany/tsg-1899-hoffenheim-ii-vs-tsv-alemannia-aachen-h2h-stats#8206072,1.38,1.30
TSV 1860 München,VfL Osnabrück,3,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-vfl-osnabruck-h2h-stats#8206135,1.60,1.99
SSV Ulm 1846,Erzgebirge Aue,1,0,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-ssv-ulm-1846-h2h-stats#8206138,1.62,1.95
1. FC Saarbrücken,FC Viktoria Köln,2,1,,,https://footystats.org/germany/1-fc-saarbrucken-vs-fc-viktoria-koln-h2h-stats#8206139,0.78,0.98
TSV Havelse,Rot-Weiss Essen,1,1,,,https://footystats.org/germany/rot-weiss-essen-vs-tsv-havelse-h2h-stats#8206154,2.68,0.77
1. FC Schweinfurt 05,Energie Cottbus,0,2,,,https://footystats.org/germany/fc-energie-cottbus-vs-1-fc-schweinfurt-1905-h2h-stats#8206071,0.94,2.83
