home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG
TSV Havelse,SSV Jahn Regensburg,1,2,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-tsv-havelse-h2h-stats#8205860,1.36,1.51
TSV 1860 München,MSV Duisburg,3,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-msv-duisburg-h2h-stats#8205863,1.02,1.92
SSV Ulm 1846,Energie Cottbus,1,2,,,https://footystats.org/germany/fc-energie-cottbus-vs-ssv-ulm-1846-h2h-stats#8206107,0.99,1.36
Rot-Weiss Essen,FC Viktoria Köln,1,0,,,https://footystats.org/germany/rot-weiss-essen-vs-fc-viktoria-koln-h2h-stats#8206086,1.81,1.11
F.C. Hansa Rostock,SV Wehen Wiesbaden,3,0,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-fc-hansa-rostock-h2h-stats#8205854,2.20,0.97
1. FC Saarbrücken,SC Verl,2,4,,,https://footystats.org/germany/1-fc-saarbrucken-vs-sc-verl-1924-h2h-stats#8205855,1.59,1.94
Alemannia Aachen,FC Ingolstadt 04,0,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-tsv-alemannia-aachen-h2h-stats#8205858,2.26,2.00
VfB Stuttgart II U21,1. FC Schweinfurt 05,3,0,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-1-fc-schweinfurt-1905-h2h-stats#8205861,1.61,1.17
VfL Osnabrück,TSG Hoffenheim II U23,0,4,,,https://footystats.org/germany/vfl-osnabruck-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205862,1.18,1.87
Erzgebirge Aue,SV Waldhof Mannheim,0,2,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-sv-waldhof-mannheim-07-h2h-stats#8205859,1.27,1.42
