home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG
VfB Stuttgart II U21,TSV Havelse,2,1,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-tsv-havelse-h2h-stats#8205899,2.56,1.74
SC Verl,VfL Osnabrück,4,1,,,https://footystats.org/germany/vfl-osnabruck-vs-sc-verl-1924-h2h-stats#8206087,1.69,1.27
SSV Jahn Regensburg,F.C. Hansa Rostock,0,3,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-fc-hansa-rostock-h2h-stats#8205897,1.20,1.99
1. FC Schweinfurt 05,SV Waldhof Mannheim,2,3,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-sv-waldhof-mannheim-07-h2h-stats#8206062,1.67,1.45
FC Ingolstadt 04,TSG Hoffenheim II U23,3,2,,,https://footystats.org/germany/fc-ingolstadt-04-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205784,2.25,1.58
MSV Duisburg,Alemannia Aachen,3,1,,,https://footystats.org/germany/msv-duisburg-vs-tsv-alemannia-aachen-h2h-stats#8205895,1.34,1.13
SSV Ulm 1846,TSV 1860 München,0,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-ssv-ulm-1846-h2h-stats#8205905,1.40,0.72
Energie Cottbus,FC Viktoria Köln,3,2,,,https://footystats.org/germany/fc-energie-cottbus-vs-fc-viktoria-koln-h2h-stats#8206111,2.27,1.56
1. FC Saarbrücken,Rot-Weiss Essen,2,3,,,https://footystats.org/germany/rot-weiss-essen-vs-1-fc-saarbrucken-h2h-stats#8206120,1.56,1.80
SV Wehen Wiesbaden,Erzgebirge Aue,3,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-sv-wehen-wiesbaden-h2h-stats#8205783,1.85,1.24
