home_team,away_team,home_goals,away_goals,match_date,match_time,url,home_xG,away_xG
Rot-Weiss Essen,Alemannia Aachen,2,3,,,https://footystats.org/germany/rot-weiss-essen-vs-tsv-alemannia-aachen-h2h-stats#8206147,2.16,1.78
1. FC Schweinfurt 05,SV Wehen Wiesbaden,0,1,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-1-fc-schweinfurt-1905-h2h-stats#8205809,1.95,1.96
SSV Ulm 1846,SV Waldhof Mannheim,1,2,,,https://footystats.org/germany/sv-waldhof-mannheim-07-vs-ssv-ulm-1846-h2h-stats#8206056,1.76,2.36
F.C. Hansa Rostock,TSG Hoffenheim II U23,0,1,,,https://footystats.org/germany/fc-hansa-rostock-vs-tsg-1899-hoffenheim-ii-h2h-stats#8206150,1.79,2.05
Energie Cottbus,FC Ingolstadt 04,1,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-energie-cottbus-h2h-stats#8205810,1.84,1.81
TSV 1860 München,VfB Stuttgart II U21,1,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-vfb-stuttgart-1893-ii-h2h-stats#8206069,1.97,1.08
TSV Havelse,VfL Osnabrück,0,2,,,https://footystats.org/germany/vfl-osnabruck-vs-tsv-havelse-h2h-stats#8206141,1.23,1.93
SC Verl,MSV Duisburg,2,3,,,https://footystats.org/germany/msv-duisburg-vs-sc-verl-1924-h2h-stats#8206142,1.60,1.20
1. FC Saarbrücken,Erzgebirge Aue,4,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-1-fc-saarbrucken-h2h-stats#8206143,1.54,1.87
FC Viktoria Köln,SSV Jahn Regensburg,1,0,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-fc-viktoria-koln-h2h-stats#8206074,1.78,1.25
