spieltag,home_team,away_team,home_goals,away_goals,url,home_xG,away_xG
3,SV Wehen Wiesbaden,Rot-Weiss Essen,3,4,https://int.soccerway.com/matches/2025/08/22/germany/3-liga/wiesbaden/rw-essen/I1998461/,2.78,2.69
3,TSG Hoffenheim II U23,Energie Cottbus,4,1,https://int.soccerway.com/matches/2025/08/23/germany/3-liga/hoffenheim-ii/cottbus/I2221185/,2.86,2.63
3,Alemannia Aachen,TSV 1860 München,0,2,https://int.soccerway.com/matches/2025/08/23/germany/3-liga/alemannia/1860-m-nchen/I1998449/,0.60,1.46
3,VfL Osnabrück,1. FC Saarbrücken,2,0,https://int.soccerway.com/matches/2025/08/23/germany/3-liga/osnabr-ck/saarbr-cken/I1998537/,1.09,0.62
3,SSV Jahn Regensburg,1. FC Schweinfurt 05,3,0,https://int.soccerway.com/matches/2025/08/23/germany/3-liga/regensburg/schweinfurt/I1998471/,3.19,0.62
3,VfB Stuttgart II U21,SC Verl,1,1,https://int.soccerway.com/matches/2025/08/23/germany/3-liga/stuttgart-ii/verl/I2006053/,2.27,2.80
3,MSV Duisburg,SSV Ulm 1846,2,1,https://int.soccerway.com/matches/2025/08/23/germany/3-liga/duisburg/ulm/I2097182/,1.27,1.33
3,FC Ingolstadt 04,F.C. Hansa Rostock,1,1,https://int.soccerway.com/matches/2025/08/24/germany/3-liga/ingolstadt/rostock/I1998477/,1.76,1.13
3,Erzgebirge Aue,TSV Havelse,2,1,https://int.soccerway.com/matches/2025/08/24/germany/3-liga/aue/havelse/I1998540/,1.63,1.89
3,SV Waldhof Mannheim,FC Viktoria Köln,2,0,https://int.soccerway.com/matches/2025/08/24/germany/3-liga/waldhof/viktoria/I1998464/,0.75,2.01
